['19', '17', '44', '166', '3', '19', '62', '0', '13', '23', '101', '1', '0', '24', '41', '257', '1', '2', '1', '5', '4', '27', '96', '230', '262', '292', '1', '1', '2', '1', '1', '3', '4', '35', '9', '56', '6', '16', '4', '15', '3', '5', '1', '3', '34', '23', '25', '37']
['12', '10', '28', '88', '1', '28', '90', '0', '20', '27', '201', '1', '0', '13', '29', '153', '0', '1', '2', '12', '2', '8', '189', '145', '277', '235', '1', '1', '2', '1', '1', '2', '9', '68', '6', '43', '5', '16', '3', '16', '0', '0', '0', '1', '31', '40', '28', '20']
['17', '16', '34', '70', '0', '18', '66', '1', '23', '34', '271', '0', '0', '23', '34', '217', '0', '2', '3', '15', '2', '11', '256', '206', '326', '272', '2', '0', '4', '4', '0', '6', '7', '45', '6', '30', '7', '18', '3', '10', '0', '1', '1', '2', '35', '42', '24', '18']
['16', '12', '34', '78', '1', '30', '107', '0', '17', '28', '239', '1', '0', '14', '27', '108', '0', '1', '3', '22', '3', '22', '217', '86', '295', '193', '3', '0', '3', '2', '0', '3', '7', '50', '6', '46', '5', '16', '3', '15', '0', '0', '0', '0', '31', '37', '28', '23']
['19', '23', '25', '80', '0', '28', '106', '1', '20', '28', '247', '4', '1', '23', '34', '236', '1', '2', '1', '4', '5', '42', '243', '194', '323', '300', '1', '0', '1', '0', '1', '2', '10', '84', '8', '70', '5', '11', '7', '14', '0', '0', '0', '1', '25', '12', '34', '48']
['16', '21', '8', '-18', '1', '28', '73', '0', '32', '45', '296', '2', '2', '27', '37', '261', '4', '1', '4', '31', '2', '15', '265', '246', '247', '319', '4', '3', '3', '3', '5', '4', '10', '70', '9', '70', '4', '10', '5', '11', '0', '1', '0', '0', '25', '32', '34', '28']
['25', '11', '26', '75', '0', '24', '91', '1', '34', '56', '328', '2', '6', '13', '24', '104', '0', '2', '2', '17', '2', '18', '311', '86', '386', '177', '0', '0', '2', '1', '6', '3', '4', '21', '10', '78', '10', '19', '3', '11', '1', '1', '1', '1', '36', '12', '23', '48']
['6', '27', '16', '79', '0', '36', '106', '1', '12', '28', '114', '0', '0', '27', '40', '278', '2', '1', '3', '20', '1', '4', '94', '274', '173', '380', '2', '2', '3', '1', '2', '2', '10', '53', '4', '39', '1', '12', '6', '14', '0', '3', '0', '0', '20', '06', '39', '54']
['22', '23', '35', '111', '2', '25', '128', '1', '24', '38', '274', '0', '1', '22', '41', '279', '1', '2', '1', '5', '6', '39', '269', '240', '380', '368', '1', '1', '2', '2', '2', '4', '12', '104', '2', '15', '5', '15', '2', '12', '0', '1', '0', '1', '37', '43', '28', '07']
['9', '20', '25', '77', '0', '39', '202', '1', '9', '22', '109', '0', '0', '16', '30', '150', '1', '3', '0', '0', '0', '0', '109', '150', '186', '352', '1', '0', '0', '0', '0', '3', '3', '15', '4', '40', '2', '11', '8', '16', '0', '1', '0', '0', '25', '11', '34', '49']
['20', '19', '19', '47', '0', '25', '103', '0', '33', '49', '290', '1', '2', '21', '33', '293', '2', '0', '1', '10', '1', '6', '280', '287', '327', '390', '3', '1', '3', '2', '3', '2', '4', '30', '3', '22', '8', '15', '3', '11', '0', '2', '1', '2', '31', '57', '28', '03']
['21', '18', '29', '131', '0', '27', '103', '0', '19', '37', '258', '2', '2', '22', '30', '218', '3', '0', '2', '7', '1', '4', '251', '214', '382', '317', '2', '1', '1', '0', '3', '0', '4', '25', '6', '75', '5', '14', '5', '12', '1', '2', '0', '0', '28', '49', '31', '11']
['11', '16', '27', '72', '0', '27', '66', '1', '19', '27', '169', '1', '0', '16', '32', '163', '0', '1', '2', '7', '2', '13', '162', '150', '234', '216', '3', '2', '1', '0', '2', '1', '5', '33', '2', '10', '6', '15', '4', '15', '0', '0', '1', '1', '32', '23', '27', '37']
['17', '21', '24', '50', '1', '20', '72', '0', '16', '28', '211', '2', '0', '37', '52', '329', '2', '4', '3', '14', '1', '5', '197', '324', '247', '396', '0', '0', '2', '1', '0', '5', '11', '101', '11', '79', '3', '11', '8', '14', '0', '0', '0', '2', '27', '33', '32', '27']
['18', '18', '20', '79', '1', '37', '122', '1', '22', '40', '309', '1', '2', '15', '24', '189', '2', '0', '0', '0', '0', '0', '309', '189', '388', '311', '0', '0', '0', '0', '2', '0', '4', '31', '5', '42', '4', '12', '5', '14', '1', '2', '2', '2', '27', '03', '32', '57']
['19', '17', '27', '72', '0', '11', '25', '0', '28', '39', '283', '1', '0', '28', '43', '377', '1', '3', '2', '14', '3', '26', '269', '351', '341', '376', '3', '2', '3', '1', '2', '4', '6', '47', '7', '40', '4', '14', '1', '10', '0', '0', '0', '0', '35', '17', '24', '43']
['18', '25', '26', '65', '0', '32', '228', '3', '23', '39', '344', '1', '1', '19', '24', '265', '0', '1', '5', '37', '3', '15', '307', '250', '372', '478', '2', '1', '5', '4', '2', '5', '10', '55', '4', '30', '7', '17', '1', '7', '0', '0', '0', '0', '30', '55', '29', '05']
['15', '15', '31', '149', '1', '19', '49', '0', '11', '21', '161', '2', '0', '31', '47', '245', '1', '1', '1', '5', '5', '29', '156', '216', '305', '265', '2', '2', '4', '3', '2', '4', '6', '45', '11', '105', '3', '10', '5', '16', '0', '1', '0', '2', '27', '26', '32', '34']
['16', '20', '33', '112', '0', '34', '151', '0', '15', '25', '195', '1', '1', '14', '31', '162', '1', '1', '7', '44', '3', '16', '151', '146', '263', '297', '2', '1', '0', '0', '2', '1', '8', '100', '4', '30', '5', '16', '3', '13', '0', '0', '0', '2', '35', '52', '29', '11']
['28', '19', '17', '62', '0', '25', '75', '0', '34', '55', '367', '2', '1', '22', '32', '293', '4', '1', '1', '6', '1', '6', '361', '287', '423', '362', '1', '1', '3', '0', '2', '1', '3', '71', '7', '58', '5', '13', '8', '13', '1', '1', '0', '0', '29', '45', '30', '15']
['15', '13', '29', '102', '0', '16', '32', '0', '21', '32', '155', '1', '0', '20', '42', '231', '0', '2', '6', '50', '3', '19', '105', '212', '207', '244', '1', '0', '2', '0', '0', '2', '3', '20', '7', '39', '6', '18', '3', '14', '1', '1', '0', '0', '34', '18', '25', '42']
['16', '21', '22', '107', '2', '23', '103', '1', '24', '37', '266', '0', '0', '30', '44', '337', '2', '0', '5', '28', '2', '15', '238', '322', '345', '425', '2', '1', '1', '1', '1', '1', '6', '40', '2', '20', '6', '16', '6', '16', '0', '2', '1', '1', '28', '55', '31', '05']
['30', '14', '29', '127', '2', '19', '78', '0', '33', '41', '383', '5', '0', '15', '26', '173', '1', '1', '0', '0', '4', '22', '383', '151', '510', '229', '1', '0', '2', '1', '0', '2', '4', '37', '5', '34', '8', '11', '4', '10', '2', '2', '0', '0', '34', '54', '25', '06']
['28', '15', '29', '133', '1', '26', '166', '1', '26', '41', '305', '1', '2', '16', '21', '200', '2', '0', '1', '15', '1', '7', '290', '193', '423', '359', '4', '1', '2', '1', '3', '1', '6', '80', '5', '35', '7', '14', '6', '12', '0', '0', '0', '0', '35', '33', '24', '27']
